┌ 云众生邵氏影院 ┐,#genre#

邵氏影院[1280*720],http://diyp.112114.xyz/douyu/4246519
邵氏影院[1280*720],http://epg.112114.xyz/douyu/4246519
云众生[李子柒合集],#genre# 

李子柒1,https://vd4.bdstatic.com/mda-mh5dp0zjpfjxchgd/720p_frame30/h264_cae_acd/1673948416413575668/mda-mh5dp0zjpfjxchgd.mp4?v_from_s=bdapp-unicomment-hna
李子柒2,https://upos-sz-mirrorali.bilivideo.com/upgcxcode/87/77/99977787/99977787-1-100022.m4s?e=ig8euxZM2rNcNbdlhoNvNC8BqJIzNbfqXBvEqxTEto8BTrNvN0GvT90W5JZMkX_YN0MvXg8gNEV4NC8xNEV4N03eN0B5tZlqNxTEto8BTrNvNeZVuJ10Kj_g2UB02J0mN0B5tZlqNCNEto8BTrNvNC7MTX502C8f2jmMQJ6mqF2fka1mqx6gqj0eN0B599M=&uipk=5&nbs=1&deadline=1707288090&gen=playurlv2&os=alibv&oi=0&trid=682e17e3c6254640b2eda04ac169a61au&mid=0&platform=pc&upsig=eca63a04aeb8e45ec82cca9bd3939c49&uparams=e,uipk,nbs,deadline,gen,os,oi,trid,mid,platform&bvc=vod&nettype=0&orderid=0,3&buvid=908D3651-0EB9-BAC7-C969-DB64B7F10D0171816infoc&build=0&f=u_0_0&agrr=0&bw=27713&logo=80000000
李子柒2,https://upos-sz-mirrorali.bilivideo.com/upgcxcode/87/77/99977787/99977787-1-30015.m4s?e=ig8euxZM2rNcNbdlhoNvNC8BqJIzNbfqXBvEqxTEto8BTrNvN0GvT90W5JZMkX_YN0MvXg8gNEV4NC8xNEV4N03eN0B5tZlqNxTEto8BTrNvNeZVuJ10Kj_g2UB02J0mN0B5tZlqNCNEto8BTrNvNC7MTX502C8f2jmMQJ6mqF2fka1mqx6gqj0eN0B599M=&uipk=5&nbs=1&deadline=1707288091&gen=playurlv2&os=alibv&oi=0&trid=71a6af54d8ba4e1c9a0a3bf567840209u&mid=0&platform=pc&upsig=a4a29586d9f8edfc36f5d744843c25b8&uparams=e,uipk,nbs,deadline,gen,os,oi,trid,mid,platform&bvc=vod&nettype=0&orderid=0,3&buvid=908D3651-0EB9-BAC7-C969-DB64B7F10D0171816infoc&build=0&f=u_0_0&agrr=0&bw=48968&logo=80000000
李子柒3,https://vd2.bdstatic.com/mda-mh19x922jgu5h6mj/720p_frame30/h264_cae_acd/1673882522278667085/mda-mh19x922jgu5h6mj.mp4?v_from_s=bdapp-unicomment-hnb
李子柒4, https://upos-sz-mirrorctos.bilivideo.com/upgcxcode/68/97/349439768/349439768_da2-1-30016.m4s?e=ig8euxZM2rNcNbdlhoNvNC8BqJIzNbfqXBvEqxTEto8BTrNvN0GvT90W5JZMkX_YN0MvXg8gNEV4NC8xNEV4N03eN0B5tZlqNxTEto8BTrNvNeZVuJ10Kj_g2UB02J0mN0B5tZlqNCNEto8BTrNvNC7MTX502C8f2jmMQJ6mqF2fka1mqx6gqj0eN0B599M=&uipk=5&nbs=1&deadline=1707232788&gen=playurlv2&os=ctosbv&oi=0&trid=dbf635ec548649f2b8ec3f212c746aabu&mid=0&platform=pc&upsig=9a5fccbb8884f98009ccb0b4952215bf&uparams=e,uipk,nbs,deadline,gen,os,oi,trid,mid,platform&bvc=vod&nettype=0&orderid=0,3&buvid=908D3651-0EB9-BAC7-C969-DB64B7F10D0171816infoc&build=0&f=u_0_0&agrr=0&bw=37915&logo=80000000
李子柒4,https://xy183x2x75x228xy.mcdn.bilivideo.cn:8082/v1/resource/349439768_da2-1-30032.m4s?agrr=0&build=0&buvid=908D3651-0EB9-BAC7-C969-DB64B7F10D0171816infoc&bvc=vod&bw=57628&deadline=1707232788&e=ig8euxZM2rNcNbdlhoNvNC8BqJIzNbfqXBvEqxTEto8BTrNvN0GvT90W5JZMkX_YN0MvXg8gNEV4NC8xNEV4N03eN0B5tZlqNxTEto8BTrNvNeZVuJ10Kj_g2UB02J0mN0B5tZlqNCNEto8BTrNvNC7MTX502C8f2jmMQJ6mqF2fka1mqx6gqj0eN0B599M%3D&f=u_0_0&gen=playurlv2&logo=80000000&mid=0&nbs=1&nettype=0&oi=0&orderid=0%2C3&os=ctosbv&platform=pc&sign=f99933&traceid=trWvATXwdZXFbo_0_e_N&uipk=5&uparams=e%2Cuipk%2Cnbs%2Cdeadline%2Cgen%2Cos%2Coi%2Ctrid%2Cmid%2Cplatform&upsig=52b0306f2f914b4ddd3dcfe22e93c263
李子柒5,https://vd2.bdstatic.com/mda-mgdfufbfiubtixmt/sc/cae_h264_nowatermark/1626264336632861040/mda-mgdfufbfiubtixmt.mp4?v_from_s=bdapp-unicomment-hna
李子柒6,https://vd2.bdstatic.com/mda-mg8d0kfgzedr0ze2/720p_frame30/h264_cae_acd/1673882679309336567/mda-mg8d0kfgzedr0ze2.mp4?v_from_s=bdapp-unicomment-hna
李子柒7,https://vd3.bdstatic.com/mda-mg5d0jtvkj1m5st3/720p_frame30/h264_cae_acd/1674020388384380144/mda-mg5d0jtvkj1m5st3.mp4?v_from_s=bdapp-feedserver-hnb
李子柒8,https://vd4.bdstatic.com/mda-mg4da7t895xt7q6z/720p_frame30/h264_cae_acd/1673901483208004927/mda-mg4da7t895xt7q6z.mp4?v_from_s=bdapp-resbox-zan-hna
李子柒9,hhttps://vd2.bdstatic.com/mda-mg1cefiavztwqh4t/720p_frame30/h264_cae_acd/1674413162325902004/mda-mg1cefiavztwqh4t.mp4?v_from_s=bdapp-author-hna
李子柒10,https://vd2.bdstatic.com/mda-mfuch506atn60hy5/720p_frame30/h264_cae_acd/1674070833317905345/mda-mfuch506atn60hy5.mp4?v_from_s=bdapp-author-hnb
李子柒11,https://vd2.bdstatic.com/mda-mftdrsmmmt59ewyf/720p_frame30/h264_cae/1624873411123602182/mda-mftdrsmmmt59ewyf.mp4?v_from_s=bdapp-author-hnb
李子柒12,https://vd4.bdstatic.com/mda-mfqbv07bar73wv15/720p_frame30/h264_cae_acd/1674052237312855572/mda-mfqbv07bar73wv15.mp4?v_from_s=bdapp-author-hna
李子柒13,https://vd2.bdstatic.com/mda-mfndtpudpfm3vme8/720p_frame30/h264_cae_acd/1674589114048199135/mda-mfndtpudpfm3vme8.mp4?v_from_s=bdapp-author-hnb
李子柒14,https://vd3.bdstatic.com/mda-mfkd8q1s99ydztgr/720p_frame30/h264_cae_acd/1674364834241053258/mda-mfkd8q1s99ydztgr.mp4?v_from_s=bdapp-author-hnb
李子柒16,https://vd2.bdstatic.com/mda-mfhd411bbj7jg1pt/720p_frame30/h264_cae_acd/1675010262130822193/mda-mfhd411bbj7jg1pt.mp4?v_from_s=bdapp-author-hnb
李子柒17,https://vd2.bdstatic.com/mda-mff32t624v2kkrf6/720p_frame30/h264_cae_acd/1674148878383761737/mda-mff32t624v2kkrf6.mp4?v_from_s=bdapp-author-hnb
李子柒18,https://vd2.bdstatic.com/mda-mfabxtiq8udni4vz/720p_frame30/h264_cae/1623399983303329060/mda-mfabxtiq8udni4vz.mp4?v_from_s=bdapp-author-hnb
李子柒19,https://vd2.bdstatic.com/mda-mf9bfqq9nwizf3jw/720p_frame30/h264_cae_acd/1674168394949027041/mda-mf9bfqq9nwizf3jw.mp4?v_from_s=bdapp-author-hnb
李子柒20,https://vd2.bdstatic.com/mda-mf7ckmrpby48ftc5/720p_frame30/h264_cae_acd/1674156660229482139/mda-mf7ckmrpby48ftc5.mp4?v_from_s=bdapp-author-hnb

云众生|央视频道,#genre#

